delivery_id,order_id,driver_id,vehicle_id,hub_id,dispatch_time,delivery_completed_at,delivery_status,route_distance_km,manual_route_override_count,proof_of_completion_missing,customer_rating_post_delivery,fuel_or_charge_cost,delivery_duration_hours,failed_delivery_flag,delayed_delivery_flag
DL00211,O01017,D102,V006,H08,2025-12-30 15:47:00,2026-04-28 01:17:24,Ontime,12.39,1,0,4.57,13.18,2841.5066666666667,0,0
DL00212,O01105,D142,V041,H01,2025-06-18 18:46:00,2026-04-28 15:30:12,Delayed,13.85,1,1,4.29,11.45,7532.736666666667,0,1
DL00213,O00807,D025,V073,H02,2025-10-16 07:59:00,2026-04-28 10:20:12,Ontime,8.57,0,0,4.33,10.42,4658.3533333333335,0,0
DL00214,O00552,D096,V010,H04,2025-11-09 03:20:00,,Ontime,6.09,0,0,3.02,7.3,,0,0
DL00215,O01042,D100,V102,H06,2024-08-26 13:15:00,2026-04-28 07:20:06,Delayed,22.0,1,0,4.79,19.64,14634.085,0,1
DL00216,O00167,D146,V019,H07,2024-04-27 21:19:00,,Ontime,30.01,0,0,3.37,18.54,,0,0
DL00217,O01194,D020,V030,H01,2024-08-08 01:50:00,2026-04-28 09:07:12,Ontime,22.61,1,0,4.41,12.17,15079.286666666667,0,0
DL00218,O00136,D149,V010,H03,2024-11-27 17:12:00,,Delayed,3.51,1,0,3.27,4.15,,0,1
DL00219,O00513,D087,V118,H07,2024-08-07 05:33:00,2026-04-28 00:38:36,Ontime,14.41,1,0,4.59,12.65,15091.093333333334,0,0
DL00220,O00859,D079,V107,H08,2024-03-21 03:17:00,,Ontime,33.71,4,0,5.0,13.79,,0,0
DL00221,O00594,D151,V092,H02,2024-03-11 21:43:00,,Ontime,12.09,3,0,3.25,11.03,,0,0
DL00222,O01010,D121,V045,H06,2024-05-18 21:01:00,,Ontime,9.72,0,0,5.0,8.53,,0,0
DL00223,O00740,D155,V085,H08,2024-05-22 15:11:00,,Delayed,12.99,0,0,3.19,12.3,,0,1
DL00224,O00960,D034,V040,H07,2025-01-20 03:14:00,,Ontime,11.88,0,0,3.79,14.2,,0,0
DL00225,O00056,D150,V044,H05,2025-10-05 20:44:00,,Ontime,6.21,2,0,3.98,14.94,,0,0
DL00226,O00823,D119,V030,H06,2025-02-05 21:33:00,,Delayed,9.28,0,0,2.17,10.29,,0,1
DL00227,O01138,D083,V114,H04,2024-02-08 18:51:00,,Ontime,16.49,2,0,4.65,13.68,,0,0
DL00228,O01094,D052,V085,H04,2024-08-22 11:22:00,,Ontime,6.68,2,0,4.05,11.59,,0,0
DL00229,O00518,D050,V036,H02,2025-12-11 02:26:00,,Ontime,14.89,0,0,3.97,13.89,,0,0
DL00230,O00303,D055,V037,H06,2025-07-22 05:41:00,,Failed,14.85,1,0,2.34,13.21,,1,0
DL00231,O00670,D014,V046,H05,2024-03-27 23:40:00,,Ontime,13.07,0,0,4.72,3.86,,0,0
DL00232,O00397,D050,V101,H06,2025-06-18 19:47:00,2026-04-28 18:18:12,Ontime,29.8,1,0,3.71,14.58,7534.52,0,0
DL00233,O01173,D094,V020,H04,2024-02-08 11:24:00,,Ontime,5.36,0,0,4.5,11.41,,0,0
DL00234,O00340,D056,V028,H01,2025-02-10 03:37:00,2026-04-28 18:46:00,Ontime,13.52,1,0,2.88,6.77,10623.15,0,0
DL00235,O00507,D022,V109,H05,2025-12-13 06:42:00,2026-04-28 05:08:06,Failed,18.87,0,0,3.68,19.15,3262.435,1,0
DL00236,O00013,D163,V009,H07,2024-03-29 22:48:00,,Ontime,20.12,2,0,3.74,17.02,,0,0
DL00237,O00082,D135,V099,H06,2024-07-30 05:49:00,2026-04-28 01:15:48,Ontime,12.83,1,0,3.62,20.26,15283.446666666667,0,0
DL00238,O00979,D146,V077,H04,2025-01-08 05:27:00,,Ontime,14.2,2,0,4.02,13.01,,0,0
DL00239,O00052,D019,V010,H06,2024-08-14 09:02:00,2026-04-28 09:18:00,Delayed,13.6,1,0,3.72,16.0,14928.266666666666,0,1
DL00240,O01169,D131,V070,H06,2025-11-06 15:56:00,2026-04-28 10:49:18,Failed,38.25,1,0,3.34,21.21,4146.888333333333,1,0
DL00241,O00187,D155,V084,H07,2024-12-30 18:28:00,,Ontime,10.78,0,0,5.0,15.96,,0,0
DL00242,O00119,D137,V108,H07,2024-05-25 22:51:00,2026-04-28 01:37:48,Delayed,4.26,2,0,1.93,17.11,16850.78,0,1
DL00243,O00544,D099,V079,H04,2024-06-14 20:33:00,2026-04-28 11:53:42,Ontime,14.39,1,0,4.52,10.27,16383.345,0,0
DL00244,O00610,D024,V077,H03,2024-07-21 19:36:00,,Ontime,6.55,0,0,4.87,10.1,,0,0
DL00245,O01206,D047,V061,H01,2024-11-16 00:30:00,,Ontime,16.57,1,0,4.28,17.58,,0,0
DL00246,O00603,D016,V061,H05,2024-02-25 01:31:00,,Ontime,20.51,0,0,4.05,12.98,,0,0
DL00247,O00881,D056,V100,H08,2024-12-31 12:39:00,2026-04-28 10:16:48,Ontime,11.09,0,0,4.04,5.77,11589.63,0,0
DL00248,O00799,D099,V047,H02,2025-08-22 18:02:00,,Ontime,7.06,1,0,5.0,13.65,,0,0
DL00249,O00770,D139,V107,H06,2024-07-20 09:45:00,,Delayed,15.28,0,1,3.02,15.91,,0,1
DL00250,O00977,D092,V067,H03,2024-08-27 17:43:00,,Ontime,6.39,0,0,4.03,7.45,,0,0
DL00251,O00122,D005,V030,H06,2024-02-10 16:00:00,,Failed,14.27,0,0,3.89,16.33,,1,0
DL00252,O00713,D109,V001,H05,2024-07-10 01:06:00,2026-04-28 10:04:30,Ontime,11.34,0,0,4.06,10.82,15776.975,0,0
DL00253,O00325,D126,V033,H08,2024-09-30 05:43:00,2026-04-28 09:22:36,Ontime,5.12,1,0,4.24,9.16,13803.66,0,0
DL00254,O00933,D053,V084,H05,2024-12-29 13:26:00,2026-04-28 18:06:54,Ontime,11.34,1,0,4.09,12.33,11644.681666666667,0,0
DL00255,O00908,D154,V032,H06,2025-07-02 02:14:00,,Delayed,28.05,3,0,3.35,18.76,,0,1
DL00256,O00389,D105,V088,H01,2025-01-22 12:35:00,,Delayed,8.17,1,0,3.16,14.91,,0,1
DL00257,O00103,D034,V038,H02,2024-01-26 14:25:00,,Delayed,15.88,1,0,3.54,14.05,,0,1
DL00258,O01230,D003,V093,H02,2024-05-26 21:11:00,,Delayed,15.09,2,0,3.74,8.22,,0,1
DL00259,O00266,D120,V096,H06,2024-10-04 19:45:00,2026-04-28 21:38:18,Delayed,16.86,1,0,1.0,19.95,13705.888333333334,0,1
DL00260,O00152,D001,V114,H04,2024-09-03 19:25:00,,Ontime,21.6,0,0,3.32,17.16,,0,0
DL00261,O00445,D051,V079,H02,2025-04-19 01:20:00,,Failed,10.73,1,1,3.18,9.58,,1,0
DL00262,O00762,D134,V038,H08,2025-04-09 22:31:00,,Ontime,5.51,0,0,4.14,10.11,,0,0
DL00263,O01006,D048,V098,H01,2025-12-29 14:58:00,,Delayed,15.66,1,0,2.55,9.31,,0,1
DL00264,O00802,D073,V067,H08,2024-02-14 07:30:00,2026-04-28 17:05:42,Ontime,11.61,0,0,4.33,11.38,19305.595,0,0
DL00265,O00253,D119,V054,H03,2024-06-28 11:02:00,,Ontime,14.43,0,0,4.54,15.01,,0,0
DL00266,O01041,D154,V058,H06,2024-07-03 16:53:00,,Ontime,9.09,0,0,4.73,15.87,,0,0
DL00267,O00665,D090,V015,H08,2024-02-17 14:27:00,2026-04-28 12:15:30,Ontime,7.98,1,0,4.96,8.83,19221.808333333334,0,0
DL00268,O00030,D008,V056,H02,2025-10-05 03:47:00,,Ontime,8.7,1,0,3.88,15.46,,0,0
DL00269,O00131,D085,V052,H06,2024-06-29 23:38:00,2026-04-28 09:10:18,Delayed,16.05,1,0,1.96,13.91,16017.538333333334,0,1
DL00270,O00764,D104,V023,H08,2024-07-14 11:50:00,2026-04-28 05:57:24,Failed,5.37,1,0,4.29,12.93,15666.123333333333,1,0
DL00271,O00193,D036,V017,H06,2024-01-22 16:51:00,,Delayed,9.24,2,0,4.25,2.78,,0,1
DL00272,O00494,D132,V028,H05,2025-09-02 15:53:00,,Ontime,21.67,1,0,4.27,20.58,,0,0
DL00273,O00492,D071,V049,H01,2025-10-16 03:34:00,,Ontime,9.75,0,0,2.95,14.1,,0,0
DL00274,O01198,D080,V080,H02,2025-01-13 05:25:00,,Ontime,9.06,0,0,4.14,6.22,,0,0
DL00275,O00697,D002,V012,H07,2025-02-09 18:46:00,,Ontime,1.96,0,0,4.25,8.32,,0,0
DL00276,O00531,D119,V014,H02,2025-04-26 10:59:00,,Ontime,30.31,2,0,4.17,18.74,,0,0
DL00277,O00942,D104,V117,H04,2025-01-09 09:51:00,,Ontime,7.7,2,0,4.03,12.17,,0,0
DL00278,O00203,D135,V070,H07,2024-07-05 21:38:00,2026-04-28 21:54:24,Failed,3.93,2,0,3.49,3.82,15888.273333333333,1,0
DL00279,O00201,D032,V111,H01,2025-05-13 17:15:00,,Ontime,11.65,2,0,4.15,8.01,,0,0
DL00280,O00535,D037,V010,H03,2024-12-18 08:55:00,,Ontime,13.44,1,0,4.63,15.09,,0,0
DL00281,O00801,D123,V046,H02,2024-03-29 16:47:00,,Ontime,24.03,1,0,4.79,22.2,,0,0
DL00282,O01232,D045,V114,H03,2024-01-18 22:52:00,,Ontime,14.86,1,0,3.5,16.26,,0,0
DL00283,O01212,D142,V068,H08,2024-08-01 12:31:00,,Ontime,18.32,2,0,3.76,18.79,,0,0
DL00284,O00999,D089,V075,H03,2024-06-30 12:34:00,,Ontime,2.53,0,0,3.73,4.03,,0,0
DL00285,O00442,D001,V097,H07,2025-06-22 14:54:00,,Ontime,9.22,0,0,4.95,8.62,,0,0
DL00286,O00059,D038,V047,H05,2025-11-20 19:24:00,,Delayed,13.74,0,1,3.32,7.06,,0,1
DL00287,O00352,D138,V099,H01,2024-05-19 17:01:00,,Ontime,36.08,2,0,4.24,24.5,,0,0
DL00288,O00636,D004,V064,H03,2024-06-20 10:05:00,2026-04-28 12:47:24,Delayed,14.61,0,0,1.0,15.39,16250.706666666667,0,1
DL00289,O00233,D027,V095,H01,2024-12-24 20:17:00,2026-04-28 09:00:00,Ontime,13.45,3,0,4.34,9.29,11748.716666666667,0,0
DL00290,O00524,D035,V083,H03,2025-06-20 16:54:00,2026-04-28 14:45:30,Ontime,30.93,0,0,5.0,19.1,7485.858333333334,0,0
DL00291,O00485,D100,V068,H04,2024-11-27 02:51:00,,Ontime,17.86,1,0,3.97,19.28,,0,0
DL00292,O00811,D149,V103,H01,2024-05-09 08:13:00,,Ontime,15.21,1,0,4.41,18.9,,0,0
DL00293,O00888,D098,V104,H07,2024-06-13 07:40:00,,Ontime,16.53,1,0,3.97,12.62,,0,0
DL00294,O00443,D093,V100,H08,2025-10-20 02:48:00,,Ontime,12.21,0,0,4.39,15.82,,0,0
DL00295,O01101,D131,V087,H07,2024-01-14 09:50:00,2026-04-28 16:20:06,Ontime,20.39,2,0,5.0,18.38,20046.501666666667,0,0
DL00296,O01064,D062,V044,H03,2025-12-22 19:59:00,2026-04-28 18:27:24,Delayed,16.44,2,0,4.7,11.33,3046.4733333333334,0,1
DL00297,O01109,D107,V018,H01,2025-12-08 15:52:00,,Ontime,33.69,1,0,3.55,22.27,,0,0
DL00298,O01051,D111,V109,H05,2025-06-06 07:00:00,2026-04-28 06:57:24,Delayed,11.95,0,0,3.03,8.36,7823.956666666667,0,1
DL00299,O01061,D121,V088,H07,2024-04-29 22:39:00,,Ontime,15.83,3,0,4.49,12.5,,0,0
DL00300,O00222,D039,V056,H05,2024-09-25 13:54:00,,Ontime,10.01,1,0,3.41,14.32,,0,0
DL00301,O01152,D165,V009,H04,2025-03-13 00:37:00,,Ontime,9.27,0,0,5.0,9.21,,0,0
DL00302,O01208,D117,V008,H06,2024-04-18 21:38:00,,Ontime,14.89,0,0,3.6,10.25,,0,0
DL00303,O00813,D143,V005,H06,2025-10-14 00:12:00,2026-04-28 00:10:36,Ontime,10.29,1,0,5.0,18.54,4703.9766666666665,0,0
DL00304,O00433,D036,V024,H08,2024-10-29 16:23:00,,Failed,11.81,0,1,2.83,10.31,,1,0
DL00305,O00584,D028,V045,H06,2024-07-06 01:06:00,,Ontime,27.25,0,0,3.81,15.04,,0,0
DL00306,O01168,D136,V099,H07,2024-12-15 22:14:00,,Delayed,34.53,4,1,2.96,19.47,,0,1
DL00307,O00699,D089,V021,H03,2024-09-22 15:57:00,2026-04-28 06:05:18,Ontime,11.84,1,0,3.9,12.44,13982.138333333334,0,0
DL00308,O00495,D146,V046,H01,2024-01-16 01:13:00,,Ontime,8.6,0,0,3.55,10.89,,0,0
DL00309,O00783,D164,V089,H02,2024-06-28 23:56:00,2026-04-28 09:24:06,Ontime,10.02,0,0,3.2,6.99,16041.468333333334,0,0
DL00310,O00285,D149,V077,H08,2025-01-05 13:48:00,,Ontime,9.55,2,0,4.67,12.27,,0,0
DL00311,O00797,D086,V077,H05,2025-03-23 04:36:00,2026-04-28 18:19:36,Ontime,8.21,2,0,5.0,10.01,9637.726666666667,0,0
DL00312,O00204,D142,V043,H03,2025-10-22 23:06:00,,Failed,31.38,0,0,4.79,14.35,,1,0
DL00313,O00601,D136,V005,H08,2025-05-23 04:56:00,2026-04-28 22:17:36,Ontime,17.43,2,0,3.9,12.77,8177.36,0,0
DL00314,O00499,D078,V092,H08,2024-06-11 07:00:00,2026-04-28 11:44:00,Ontime,5.63,2,0,4.16,6.47,16468.733333333334,0,0
DL00315,O01107,D082,V041,H04,2024-01-25 08:28:00,,Delayed,37.41,2,0,4.22,17.73,,0,1
DL00316,O00081,D108,V095,H08,2025-04-17 15:01:00,,Failed,7.85,1,0,4.11,9.08,,1,0
DL00317,O00711,D105,V106,H06,2024-12-15 15:16:00,,Ontime,13.76,1,0,4.67,13.99,,0,0
DL00318,O00281,D054,V041,H03,2024-12-03 07:14:00,2026-04-28 03:19:48,Ontime,26.53,3,0,4.48,16.02,12260.096666666666,0,0
DL00319,O00937,D153,V103,H04,2024-04-24 08:08:00,2026-04-28 22:25:36,Failed,1.2,0,0,2.72,10.96,17630.293333333335,1,0
DL00320,O01030,D059,V006,H08,2025-08-29 10:29:00,,Ontime,5.12,1,0,5.0,10.77,,0,0
DL00321,O00438,D119,V052,H03,2025-12-29 18:51:00,,Ontime,8.71,3,0,4.26,14.34,,0,0
DL00322,O01025,D023,V030,H04,2024-04-29 16:53:00,2026-04-28 03:31:24,Delayed,11.02,1,0,5.0,13.23,17482.64,0,1
DL00323,O00666,D011,V107,H04,2025-08-26 20:36:00,,Ontime,24.58,3,0,4.21,18.25,,0,0
DL00324,O00455,D042,V059,H07,2024-08-14 04:59:00,2026-04-28 11:51:18,Failed,21.07,1,0,3.21,12.52,14934.871666666666,1,0
DL00325,O00582,D108,V001,H08,2024-11-06 12:05:00,,Ontime,14.87,0,0,5.0,14.0,,0,0
DL00326,O00500,D137,V103,H07,2024-07-30 17:04:00,2026-04-28 16:59:18,Ontime,17.24,0,0,4.02,17.18,15287.921666666667,0,0
DL00327,O00418,D102,V023,H04,2025-11-07 07:55:00,,Ontime,9.17,0,0,4.78,9.88,,0,0
DL00328,O00060,D009,V072,H02,2024-05-10 18:12:00,2026-04-28 00:21:00,Ontime,4.02,1,0,3.26,8.95,17214.15,0,0
DL00329,O00805,D100,V047,H08,2025-10-01 20:47:00,,Ontime,1.62,0,0,4.03,11.74,,0,0
DL00330,O00246,D049,V026,H04,2024-12-14 03:40:00,,Failed,15.83,1,0,2.59,16.95,,1,0
DL00331,O01059,D005,V036,H07,2025-11-23 22:50:00,,Ontime,12.94,2,0,3.72,15.48,,0,0
DL00332,O00949,D121,V088,H06,2025-04-15 19:23:00,,Delayed,5.96,1,0,3.42,9.99,,0,1
DL00333,O00930,D119,V063,H06,2025-08-20 08:58:00,2026-04-28 13:51:00,Delayed,21.85,0,0,1.76,16.51,6028.883333333333,0,1
DL00334,O00925,D018,V093,H03,2024-11-15 22:49:00,2026-04-28 18:42:00,Failed,17.65,0,1,3.01,12.27,12691.883333333333,1,0
DL00335,O00347,D082,V069,H05,2025-09-01 08:39:00,,Ontime,12.56,0,0,4.4,15.64,,0,0
DL00336,O00891,D076,V071,H03,2025-02-21 18:25:00,,Ontime,6.82,1,0,3.73,6.0,,0,0
DL00337,O00659,D116,V100,H06,2024-11-14 19:53:00,,Ontime,23.37,1,0,4.48,14.95,,0,0
DL00338,O00331,D085,V053,H05,2024-02-23 09:42:00,,Ontime,12.27,2,0,4.32,14.93,,0,0
DL00339,O00593,D073,V111,H04,2025-06-22 11:57:00,,Delayed,4.33,0,0,1.57,12.76,,0,1
DL00340,O00435,D086,V024,H05,2024-09-19 13:43:00,,Ontime,22.6,0,0,3.8,20.75,,0,0
DL00341,O01203,D050,V037,H07,2024-11-13 21:57:00,,Ontime,2.78,0,0,3.72,12.39,,0,0
DL00342,O00123,D028,V090,H08,2024-07-14 07:47:00,2026-04-28 17:08:54,Failed,6.8,0,0,2.47,8.94,15681.365,1,0
DL00343,O00505,D015,V012,H04,2025-03-29 21:38:00,,Ontime,34.31,1,0,2.98,15.09,,0,0
DL00344,O00238,D164,V081,H02,2024-08-28 12:22:00,,Ontime,11.63,0,0,5.0,11.55,,0,0
DL00345,O01175,D036,V007,H06,2024-11-04 13:11:00,,Ontime,8.75,1,0,4.22,2.72,,0,0
DL00346,O00614,D097,V060,H03,2025-02-06 00:08:00,2026-04-28 06:08:36,Ontime,15.26,1,0,3.93,14.52,10710.01,0,0
DL00347,O00343,D026,V030,H03,2024-12-09 02:01:00,,Delayed,15.62,0,1,3.94,18.0,,0,1
DL00348,O00754,D098,V062,H01,2024-10-07 23:24:00,2026-04-28 07:55:36,Delayed,2.21,4,0,2.89,13.34,13616.526666666667,0,1
DL00349,O00231,D016,V042,H07,2024-12-16 02:23:00,,Delayed,15.82,0,0,2.75,11.11,,0,1
DL00350,O01209,D019,V017,H06,2025-06-14 03:56:00,,Failed,13.23,1,0,3.05,11.77,,1,0
DL00351,O00069,D142,V050,H07,2024-05-19 21:58:00,,Ontime,33.13,0,0,4.53,22.56,,0,0
DL00352,O00989,D133,V112,H05,2024-03-08 14:47:00,2026-04-28 10:35:18,Failed,9.57,0,0,2.25,15.47,18739.805,1,0
DL00353,O00159,D018,V014,H03,2024-09-14 23:08:00,,Ontime,4.49,0,0,3.9,6.4,,0,0
DL00354,O00776,D014,V034,H04,2025-03-03 01:09:00,,Ontime,10.43,0,0,4.54,9.64,,0,0
DL00355,O00561,D162,V106,H07,2025-06-02 10:12:00,,Delayed,7.43,1,0,3.96,12.85,,0,1
DL00356,O01181,D031,V118,H04,2024-02-24 01:34:00,2026-04-28 12:32:18,Ontime,13.12,0,0,4.84,6.12,19066.971666666668,0,0
DL00357,O00235,D134,V030,H08,2025-12-22 12:39:00,2026-04-28 10:03:06,Delayed,14.75,1,0,3.27,7.91,3045.4016666666666,0,1
DL00358,O00497,D022,V005,H02,2025-11-22 01:45:00,2026-04-28 04:47:18,Delayed,19.28,1,0,3.57,14.5,3771.0383333333334,0,1
DL00359,O00654,D068,V057,H01,2025-06-18 22:44:00,2026-04-28 19:56:06,Delayed,18.71,1,1,2.94,15.84,7533.201666666667,0,1
DL00360,O00595,D100,V062,H02,2024-03-05 07:09:00,,Delayed,12.5,1,0,2.59,21.14,,0,1
DL00361,O00377,D007,V051,H07,2024-07-22 23:59:00,2026-04-28 06:00:24,Ontime,25.24,0,0,4.4,13.28,15462.023333333333,0,0
DL00362,O00460,D156,V012,H04,2024-12-09 18:44:00,,Ontime,6.09,0,0,3.51,8.56,,0,0
DL00363,O00710,D069,V090,H07,2025-02-17 14:58:00,,Ontime,19.08,1,0,5.0,17.76,,0,0
DL00364,O00277,D056,V014,H04,2024-01-14 01:45:00,2026-04-28 12:31:54,Ontime,23.79,1,0,3.98,11.43,20050.781666666666,0,0
DL00365,O00861,D064,V012,H01,2025-09-05 09:13:00,,Ontime,10.33,0,0,4.19,9.22,,0,0
DL00366,O00910,D146,V095,H06,2025-07-24 04:05:00,,Ontime,17.03,0,0,3.63,18.63,,0,0
DL00367,O00575,D128,V106,H02,2025-08-15 07:04:00,2026-04-28 10:40:18,Delayed,3.02,0,0,2.94,16.73,6147.605,0,1
DL00368,O00474,D147,V067,H01,2025-03-22 20:07:00,2026-04-28 20:56:24,Ontime,35.4,2,0,3.94,18.88,9648.823333333334,0,0
DL00369,O00366,D011,V044,H05,2024-02-12 22:37:00,2026-04-28 15:16:30,Delayed,13.48,0,0,1.44,12.48,19336.658333333333,0,1
DL00370,O00902,D131,V021,H05,2024-09-22 21:11:00,2026-04-28 17:24:18,Delayed,1.87,3,0,1.24,10.71,13988.221666666666,0,1
DL00371,O01079,D158,V069,H03,2024-03-31 08:45:00,2026-04-28 18:08:42,Ontime,17.43,0,0,3.57,10.98,18201.395,0,0
DL00372,O00300,D087,V090,H02,2024-04-02 01:57:00,,Ontime,6.81,0,0,4.87,8.41,,0,0
DL00373,O00282,D058,V081,H05,2024-01-20 06:39:00,,Delayed,11.36,0,1,4.04,23.6,,0,1
DL00374,O00841,D090,V061,H01,2025-09-26 21:47:00,2026-04-28 08:21:36,Ontime,23.47,5,0,3.73,14.32,5122.576666666667,0,0
DL00375,O00466,D102,V021,H05,2024-01-07 05:49:00,2026-04-28 01:08:54,Ontime,22.12,1,0,4.22,17.86,20203.331666666665,0,0
DL00376,O01104,D090,V114,H04,2024-09-21 17:50:00,,Ontime,6.72,0,0,4.51,5.92,,0,0
DL00377,O00510,D075,V113,H07,2024-11-23 00:12:00,,Failed,5.45,4,0,2.23,10.45,,1,0
DL00378,O00070,D111,V037,H02,2025-05-13 23:09:00,,Failed,7.92,0,0,2.14,7.93,,1,0
DL00379,O01127,D018,V020,H02,2024-03-17 03:56:00,,Ontime,17.4,1,0,3.6,14.92,,0,0
DL00380,O00120,D130,V106,H01,2024-06-16 04:55:00,2026-04-28 04:33:06,Ontime,39.9,2,0,3.71,19.33,16343.635,0,0
DL00381,O00488,D015,V005,H05,2025-08-29 19:57:00,,Ontime,11.24,0,0,5.0,10.97,,0,0
DL00382,O00141,D163,V021,H02,2024-12-05 21:45:00,,Ontime,7.31,0,0,4.39,11.68,,0,0
DL00383,O00846,D057,V017,H08,2025-07-27 23:24:00,2026-04-28 19:36:18,Delayed,9.53,1,1,2.92,9.76,6596.205,0,1
DL00384,O00618,D017,V054,H05,2025-11-19 13:06:00,,Failed,14.52,4,0,2.82,10.94,,1,0
DL00385,O00617,D123,V086,H08,2024-03-30 09:37:00,2026-04-28 15:11:00,Ontime,17.51,1,0,4.44,14.04,18221.566666666666,0,0
DL00386,O00135,D144,V002,H05,2025-04-25 03:12:00,,Failed,1.21,1,0,3.35,13.97,,1,0
DL00387,O00274,D016,V017,H01,2025-10-03 21:33:00,,Failed,11.96,0,0,2.85,11.86,,1,0
DL00388,O00886,D088,V086,H05,2024-12-11 11:37:00,2026-04-28 15:40:18,Ontime,10.71,1,0,4.64,9.36,12076.055,0,0
DL00389,O00649,D054,V065,H01,2025-03-02 03:12:00,,Ontime,12.41,1,0,4.57,12.55,,0,0
DL00390,O01242,D013,V052,H02,2025-09-08 23:34:00,,Ontime,12.86,0,0,4.75,11.06,,0,0
DL00391,O00242,D119,V060,H06,2024-11-05 05:50:00,2026-04-28 19:49:42,Ontime,20.65,0,0,3.63,15.9,12949.995,0,0
DL00392,O00832,D063,V021,H04,2024-06-06 15:50:00,,Delayed,4.77,1,1,1.15,12.67,,0,1
DL00393,O01128,D108,V060,H04,2024-03-12 19:57:00,,Failed,13.97,1,0,3.11,5.79,,1,0
DL00394,O00718,D145,V079,H02,2025-02-27 04:58:00,2026-04-28 05:30:24,Ontime,15.43,0,0,4.14,8.78,10200.54,0,0
DL00395,O00219,D012,V072,H06,2024-05-30 02:33:00,2026-04-28 15:54:24,Ontime,10.75,0,0,4.29,6.99,16765.356666666667,0,0
DL00396,O01093,D105,V063,H06,2024-10-30 00:23:00,,Ontime,14.79,2,0,4.55,21.09,,0,0
DL00397,O01199,D125,V049,H04,2024-03-10 16:57:00,2026-04-28 12:57:06,Delayed,10.5,2,0,4.61,9.36,18692.001666666667,0,1
DL00398,O00671,D106,V099,H05,2025-01-24 17:36:00,,Delayed,1.2,1,0,3.08,9.73,,0,1
DL00399,O00966,D129,V107,H08,2025-04-17 00:14:00,,Delayed,5.64,1,0,2.38,12.78,,0,1
DL00400,O00867,D165,V037,H06,2024-02-01 22:23:00,,Failed,25.59,2,0,2.48,16.84,,1,0
DL00401,O00870,D067,V009,H08,2024-10-27 15:49:00,,Ontime,10.23,0,0,4.47,6.79,,0,0
DL00402,O00539,D037,V005,H03,2024-12-04 02:08:00,2026-04-28 09:15:42,Ontime,10.83,0,0,5.0,9.69,12247.128333333334,0,0
DL00403,O00044,D131,V092,H07,2025-11-02 10:07:00,,Ontime,11.6,1,0,4.58,13.74,,0,0
DL00404,O00502,D049,V025,H02,2024-04-03 03:48:00,,Ontime,7.84,0,0,3.14,11.38,,0,0
DL00405,O00684,D052,V116,H01,2024-11-24 16:21:00,2026-04-28 22:51:00,Ontime,12.83,0,0,4.04,16.99,12486.5,0,0
DL00406,O00720,D126,V006,H01,2024-08-29 21:02:00,,Ontime,29.85,1,0,5.0,15.78,,0,0
DL00407,O00598,D010,V068,H06,2025-10-29 01:00:00,,Ontime,6.92,0,0,4.04,10.86,,0,0
DL00408,O01019,D071,V057,H08,2024-04-16 01:49:00,,Ontime,8.49,0,0,3.3,8.4,,0,0
DL00409,O00348,D047,V094,H04,2025-03-17 00:31:00,,Ontime,8.1,0,0,2.89,10.1,,0,0
DL00410,O00249,D042,V004,H05,2024-11-07 21:14:00,,Delayed,5.13,3,0,4.44,9.64,,0,1
DL00411,O00108,D122,V065,H01,2024-11-30 15:03:00,,Ontime,11.22,0,0,4.68,5.75,,0,0
DL00412,O00156,D025,V114,H02,2024-04-24 08:07:00,,Ontime,8.68,0,0,4.63,8.76,,0,0
DL00413,O01077,D046,V035,H01,2024-08-30 00:32:00,,Failed,6.34,1,0,4.22,10.75,,1,0
DL00414,O00704,D002,V083,H02,2024-03-12 18:01:00,,Ontime,8.47,1,0,5.0,14.75,,0,0
DL00415,O01145,D116,V031,H03,2024-02-22 02:27:00,,Ontime,13.31,0,0,4.23,10.05,,0,0
DL00416,O00293,D067,V059,H04,2025-04-09 18:24:00,2026-04-28 16:42:36,Ontime,4.61,1,0,4.01,10.53,9214.31,0,0
DL00417,O00615,D054,V085,H04,2025-02-08 21:37:00,2026-04-28 17:10:48,Ontime,13.05,0,0,4.08,18.58,10651.563333333334,0,0
DL00418,O00075,D167,V019,H06,2024-11-02 06:29:00,,Ontime,4.73,1,0,5.0,10.5,,0,0
DL00419,O00782,D043,V109,H06,2024-04-17 03:24:00,,Ontime,12.37,0,0,5.0,12.37,,0,0
DL00420,O00412,D093,V078,H05,2024-10-08 14:08:00,2026-04-28 14:08:36,Ontime,10.0,0,0,4.12,9.3,13608.01,0,0
DL00421,O00286,D026,V039,H02,2025-07-05 22:02:00,2026-04-28 09:23:06,Ontime,17.73,1,0,4.49,8.92,7115.3516666666665,0,0
DL00422,O01178,D135,V066,H01,2024-01-13 23:04:00,,Ontime,14.18,0,0,4.88,10.37,,0,0
DL00423,O01245,D113,V110,H05,2025-10-05 16:04:00,,Ontime,22.08,1,0,4.11,10.84,,0,0
DL00424,O00503,D061,V007,H08,2024-08-18 00:53:00,,Ontime,8.14,1,0,5.0,14.49,,0,0
DL00425,O00564,D070,V090,H04,2024-09-03 00:37:00,,Ontime,13.09,1,0,4.82,4.86,,0,0
DL00426,O00814,D150,V053,H05,2025-03-26 04:54:00,,Ontime,12.88,1,0,4.57,19.14,,0,0
